generation,candidate,composite_score,ca3_inputs_per_unit,k_ca3,beta_ca3,beta_ca1,alpha
22,5,0.8063168024575269,8.0,4.0,97.3956280708313,20.97086839675903,0.0846910512149334
22,6,0.8048219073481029,9.0,4.0,89.94045314788818,23.29569749832153,0.08379881289601326
22,7,0.8031621055470571,8.0,5.0,97.14478788375854,23.38822417259216,0.08406892028450966
23,0,0.8099055817833655,10.0,4.0,87.37320003509521,21.31107025146484,0.0843005796968937
23,1,0.789528380367491,7.0,4.0,87.16416654586791,21.491774845123288,0.08660813477635383
23,2,0.8075069337420994,8.0,4.0,82.33508882522582,25.006706047058103,0.07728478294610977
23,3,0.7845694157591572,7.0,4.0,91.50484619140624,21.86667375564575,0.08650131207704544
23,4,0.8050038834412891,9.0,4.0,93.0371314048767,20.701898860931394,0.08834480848908424
23,5,0.8036983306098867,9.0,5.0,98.01024732589721,21.15216903686523,0.07925234419107437
23,6,0.8114767469520922,8.0,4.0,87.8986340522766,20.696741867065427,0.08099548575282096
23,7,0.8085781545771494,9.0,4.0,84.93449983596801,21.504751968383786,0.07746406626701355
24,0,0.8029531531201468,9.0,4.0,103.85542449951171,22.248491573333737,0.08715934512019158
24,1,0.8117111819541011,8.0,4.0,85.56189355850219,20.764738845825192,0.0826502217054367
24,2,0.8042996608548694,9.0,4.0,89.99112186431884,21.83268241882324,0.08511837553977966
24,3,0.8125070581171246,8.0,4.0,77.46195135116577,20.80172710418701,0.08074926716089248
24,4,0.816843566386788,10.0,4.0,86.85890254974365,22.605746316909787,0.07774015498161316
24,5,0.8150525408762471,10.0,4.0,89.40522727966308,21.720923709869382,0.07442753595113755
24,6,0.8098740636419367,9.0,4.0,80.82323131561279,22.876581478118894,0.08225176167488098
24,7,0.8089095672192396,9.0,4.0,95.05016145706176,19.79699544906616,0.08457602766156197
25,0,0.8091325439567919,10.0,4.0,90.00667867660522,21.38951950073242,0.07736274284124374
25,1,0.8090755076761599,9.0,4.0,81.14823637008666,21.418940353393552,0.07524102759361267
25,2,0.8080441137154897,9.0,4.0,86.09542427062988,20.73235683441162,0.07676900160312652
25,3,0.8080258123300693,9.0,4.0,89.97798976898193,22.31307678222656,0.07602011841535568
25,4,0.8083233237487298,9.0,4.0,90.80834445953369,21.734225082397458,0.07678419184684754
25,5,0.8079438237569949,9.0,4.0,88.06460914611816,23.039660978317258,0.0752914799451828
25,6,0.8158767768851033,10.0,4.0,85.29503164291381,23.66847925186157,0.07822840195894241
25,7,0.8046984818688144,12.0,4.0,84.05816850662231,22.21320443153381,0.07217430454492568
26,0,0.8159767390180517,10.0,4.0,86.08418045043945,23.593975830078122,0.07837678623199462
26,1,0.8035342647631962,9.0,4.0,88.86377868652343,24.325917291641233,0.07700754088163375
26,2,0.8136836568514506,8.0,4.0,88.29691705703735,22.877207326889035,0.0809646016061306
26,3,0.8158092337625998,10.0,4.0,89.81844482421874,24.255381155014035,0.07643542420864105
26,4,0.817046135354925,10.0,4.0,83.13391504287719,23.011360692977902,0.07792579364776611
26,5,0.815152390775857,10.0,4.0,93.95636377334594,22.854559946060178,0.07976665776968002
26,6,0.813810195238502,10.0,4.0,92.28794393539428,21.185774135589597,0.0817559143602848
