plasticity_rule,varied_parameter,multiplier,actual_value,seed,clean_score,clean_fidelity,clean_position_accuracy,clean_cue_accuracy,mec_degraded_score,lec_degraded_score,ae_validation_mse,composite_score
base,beta_ca1,1.5,7.5,42002,0.7040072377522787,0.8320217132568359,0.28,1.0,0.5316666666666667,0.930161048968633,8.677082951180637e-05,0.7219449844625261
base,beta_ca1,1.5,7.5,42003,0.6785468769073487,0.8756406307220459,0.16,1.0,0.535,0.9274539053440094,0.0001881804346339777,0.7136669274171193
base,beta_ca1,2.0,10.0,42001,0.6749568160374958,0.8448704481124878,0.18,1.0,0.5283333333333334,0.9108588894208273,0.00011946443555643782,0.7047163462638855
base,beta_ca1,2.0,10.0,42002,0.6704713741938274,0.8114141225814819,0.2,1.0,0.5333333333333333,0.9158714314301809,8.677082951180637e-05,0.7065587129857805
base,beta_ca1,2.0,10.0,42003,0.6569491410255432,0.8508474230766296,0.12,1.0,0.535,0.9153852065404257,0.0001881804346339777,0.7024447825219896
base,beta_ca1,3.0,15.0,42001,0.6668739891052246,0.8206219673156738,0.18,1.0,0.5333333333333333,0.8970011274019877,0.00011946443555643782,0.6990694832801818
base,beta_ca1,3.0,15.0,42002,0.6503495883941651,0.7910487651824951,0.16,1.0,0.5316666666666667,0.9001732667287191,8.677082951180637e-05,0.6940631739298503
base,beta_ca1,3.0,15.0,42003,0.6477635288238526,0.8232905864715576,0.12,1.0,0.5283333333333334,0.9022400677204132,0.0001881804346339777,0.6927789766258663
base,beta_ca1,9.0,45.0,42001,0.644815886815389,0.794447660446167,0.14,1.0,0.5316666666666666,0.8684105078379313,0.00011946443555643782,0.6816310204399956
base,beta_ca1,9.0,45.0,42002,0.6357928760846456,0.7673786282539368,0.14,1.0,0.5316666666666666,0.8787059485912323,8.677082951180637e-05,0.6820551637808481
base,beta_ca1,9.0,45.0,42003,0.6172352822621664,0.791705846786499,0.06,1.0,0.5266666666666667,0.8779717733462652,0.0001881804346339777,0.6739579074250328
base,alpha,0.1,0.0008903626918792721,42001,0.6791195909182232,0.8373587727546692,0.2,1.0,0.5216666666666666,0.8443955232699712,0.00011946443555643782,0.6817272602849537
base,alpha,0.1,0.0008903626918792721,42002,0.6348102339108785,0.7644307017326355,0.14,1.0,0.5416666666666666,0.8712699810663859,8.677082951180637e-05,0.6825822938813103
base,alpha,0.1,0.0008903626918792721,42003,0.6626608085632325,0.8279824256896973,0.16,1.0,0.53,0.8875905474026998,0.0001881804346339777,0.6934171186553107
base,alpha,0.3,0.002671088075637816,42001,0.69130091269811,0.8739027380943298,0.2,1.0,0.5283333333333333,0.9040084878603617,0.00011946443555643782,0.7078809112972683
base,alpha,0.3,0.002671088075637816,42002,0.6715405821800232,0.8146217465400696,0.2,1.0,0.535,0.9121015121539434,8.677082951180637e-05,0.7062140314446554
base,alpha,0.3,0.002671088075637816,42003,0.6776985239982606,0.8730955719947815,0.16,1.0,0.5333333333333333,0.9168906112511953,0.0001881804346339777,0.7093074895275964
base,alpha,0.5,0.00445181345939636,42001,0.7000725571314493,0.8802176713943481,0.22,1.0,0.5316666666666667,0.9245943824450175,0.00011946443555643782,0.7187778687477111
base,alpha,0.5,0.00445181345939636,42002,0.6920788057645163,0.8362364172935486,0.24,1.0,0.535,0.9315197368462881,8.677082951180637e-05,0.7195328475369347
base,alpha,0.5,0.00445181345939636,42003,0.6949577569961548,0.8848732709884644,0.2,1.0,0.5316666666666666,0.9320707817872366,0.0001881804346339777,0.7195650684833526
base,alpha,0.7,0.006232538843154904,42001,0.6943745652834575,0.8831236958503723,0.2,1.0,0.5283333333333334,0.9300696502129236,0.00011946443555643782,0.7175925162765715
base,alpha,0.7,0.006232538843154904,42002,0.7019868922233581,0.8459606766700745,0.26,1.0,0.5316666666666667,0.9377608895301819,8.677082951180637e-05,0.7238048161400689
base,alpha,0.7,0.006232538843154904,42003,0.7033232951164244,0.8899698853492737,0.22,1.0,0.5316666666666666,0.9362657914559046,0.0001881804346339777,0.7237519177463319
base,alpha,1.0,0.00890362691879272,42001,0.7076945273081462,0.8830835819244385,0.24,1.0,0.5283333333333333,0.931381161014239,0.00011946443555643782,0.7224696738852394
base,alpha,1.0,0.00890362691879272,42002,0.7033770513534545,0.8501311540603638,0.26,1.0,0.535,0.9399609168370565,8.677082951180637e-05,0.7261126560635036
base,alpha,1.0,0.00890362691879272,42003,0.690660315354665,0.8919809460639954,0.18,1.0,0.5316666666666666,0.9374676545461019,0.0001881804346339777,0.7199315455224777
base,alpha,1.5,0.01335544037818908,42001,0.7073649334907532,0.8820948004722595,0.24,1.0,0.525,0.9315096090237299,0.00011946443555643782,0.7212915141714944
base,alpha,1.5,0.01335544037818908,42002,0.7103105680147808,0.850931704044342,0.28,1.0,0.5316666666666667,0.9401081303755442,8.677082951180637e-05,0.7273617883523306
base,alpha,1.5,0.01335544037818908,42003,0.6840985329945882,0.8922955989837646,0.16,1.0,0.5333333333333333,0.9373660186926523,0.0001881804346339777,0.7182659616735246
base,alpha,2.0,0.01780725383758544,42001,0.7074541020393372,0.8823623061180115,0.24,1.0,0.5233333333333334,0.9320379694302877,0.00011946443555643782,0.7209418016009861
base,alpha,2.0,0.01780725383758544,42002,0.7171539227167765,0.8514617681503296,0.3,1.0,0.5316666666666667,0.9401090194781622,8.677082951180637e-05,0.7296432029538684
base,alpha,2.0,0.01780725383758544,42003,0.6841083876291911,0.8923251628875732,0.16,1.0,0.5366666666666667,0.9371653149525324,0.0001881804346339777,0.7193134564161301
base,alpha,3.0,0.02671088075637816,42001,0.7216014162699382,0.8848042488098145,0.28,1.0,0.5283333333333334,0.9337857067584991,0.00011946443555643782,0.7279068187872568
