plasticity_rule,plasticity_label,varied_parameter,multiplier,evolved_value,actual_value,fitness,clean_score,mec_degraded_score,lec_degraded_score
err2,Error-driven,ca3_inputs_per_unit,0.1,36.0,4.0,0.8241688543337361,0.9428384786181979,0.5711111111111111,0.9585569732718997
err2,Error-driven,ca3_inputs_per_unit,0.3,36.0,11.0,0.8426228757920088,0.9822635192341274,0.5694444444444445,0.9761606636974546
err2,Error-driven,ca3_inputs_per_unit,0.5,36.0,18.0,0.8278675496357458,0.9617113749186198,0.5655555555555556,0.9563357184330622
err2,Error-driven,ca3_inputs_per_unit,0.7,36.0,25.0,0.8214220669755229,0.968292707602183,0.5666666666666668,0.9293068266577191
err2,Error-driven,ca3_inputs_per_unit,1.0,36.0,36.0,0.838451959380397,0.9765055804782444,0.5661111111111111,0.9727391865518359
err2,Error-driven,ca3_inputs_per_unit,1.5,36.0,49.0,0.6393542773414541,0.6268592948383755,0.5211111111111112,0.7700924260748757
err2,Error-driven,ca3_inputs_per_unit,2.0,36.0,49.0,0.6393542773414541,0.6268592948383755,0.5211111111111112,0.7700924260748757
err2,Error-driven,ca3_inputs_per_unit,3.0,36.0,49.0,0.6393542773414541,0.6268592948383755,0.5211111111111112,0.7700924260748757
err2,Error-driven,ca3_inputs_per_unit,9.0,36.0,49.0,0.6393542773414541,0.6268592948383755,0.5211111111111112,0.7700924260748757
err2,Error-driven,k_ca3,0.1,4.0,1.0,0.8119446769908624,0.9134039621882968,0.5588888888888891,0.963541179895401
err2,Error-driven,k_ca3,0.3,4.0,1.0,0.8119446769908624,0.9134039621882968,0.5588888888888891,0.963541179895401
err2,Error-driven,k_ca3,0.5,4.0,2.0,0.8301892758740319,0.9565679555469089,0.5644444444444444,0.9695554276307424
err2,Error-driven,k_ca3,0.7,4.0,3.0,0.8346501368504983,0.9668051478597852,0.5650000000000001,0.9721452626917096
err2,Error-driven,k_ca3,1.0,4.0,4.0,0.838451959380397,0.9765055804782444,0.5661111111111111,0.9727391865518359
err2,Error-driven,k_ca3,1.5,4.0,6.0,0.8340512662905234,0.9660392149289448,0.5700000000000002,0.9661145839426252
err2,Error-driven,k_ca3,2.0,4.0,8.0,0.8329750712712606,0.9647237602869669,0.5733333333333334,0.9608681201934814
err2,Error-driven,k_ca3,3.0,4.0,12.0,0.815049431655142,0.936652004453871,0.5566666666666668,0.9518296238448883
err2,Error-driven,k_ca3,9.0,4.0,36.0,0.5905383227268854,0.6030816838476394,0.5005555555555555,0.6679777287774615
err2,Error-driven,beta_ca3,0.1,49.61400566101074,4.961400566101074,0.4474049684350137,0.43744435217645433,0.4405555555555554,0.46421499757303125
