root_seed,condition,memory_index,cosine,mse,topk,identity
51002,aligned,26,0.6795804065781521,0.07329950481653214,0.6,1.0
51002,aligned,27,0.9704888353588704,0.005884120240807533,1.0,1.0
51002,fixed_permutation,0,0.2798451597625089,0.20569127798080444,0.2,0.0
51002,fixed_permutation,1,0.29929360524230497,0.2447616159915924,0.2,0.0
51002,fixed_permutation,2,0.15072795868666508,0.2888471484184265,0.0,0.0
51002,fixed_permutation,3,0.24758601512888714,0.12846608459949493,0.2,0.0
51002,fixed_permutation,4,0.30327607863200623,0.2126924842596054,0.0,0.0
51002,fixed_permutation,5,0.10060612192625633,0.19766119122505188,0.0,0.0
51002,fixed_permutation,6,0.01098638659327418,0.18649885058403015,0.0,0.0
51002,fixed_permutation,7,0.046670504078322725,0.16179120540618896,0.0,0.0
51002,fixed_permutation,8,0.00030090474534180705,0.19260761141777039,0.0,0.0
51002,fixed_permutation,9,0.0011942294008823468,0.1659664511680603,0.0,0.0
51002,fixed_permutation,10,0.16606195452613623,0.26919737458229065,0.2,0.0
51002,fixed_permutation,11,0.18911474324310437,0.18452990055084229,0.2,0.0
51002,fixed_permutation,12,0.6631304704390729,0.07309039682149887,0.6,1.0
51002,fixed_permutation,13,0.07369432897822713,0.1646536886692047,0.0,0.0
51002,fixed_permutation,14,0.19070759636872256,0.185315802693367,0.2,0.0
51002,fixed_permutation,15,0.007946706361740441,0.17309753596782684,0.0,0.0
51002,fixed_permutation,16,0.2533044134572878,0.22067926824092865,0.2,0.0
51002,fixed_permutation,17,0.002782281364061792,0.1339290589094162,0.0,0.0
51002,fixed_permutation,18,0.018087256621830174,0.2038685828447342,0.0,0.0
51002,fixed_permutation,19,0.1699323775682236,0.1981610655784607,0.2,0.0
51002,fixed_permutation,20,0.04221930290021946,0.1722692996263504,0.0,0.0
51002,fixed_permutation,21,0.12851112434733097,0.23352989554405212,0.0,0.0
51002,fixed_permutation,22,5.796184447249722e-05,0.166997030377388,0.0,0.0
51002,fixed_permutation,23,0.054944064672573074,0.1936621218919754,0.0,0.0
51002,fixed_permutation,24,0.13924996972294224,0.2266009896993637,0.2,0.0
51002,fixed_permutation,25,0.3401587619253304,0.1259344071149826,0.2,0.0
51002,fixed_permutation,26,0.07901448559599718,0.2864665687084198,0.0,0.0
51002,fixed_permutation,27,0.17861784204580428,0.20739173889160156,0.2,0.0
51002,matched_decoder,0,0.6725911857619981,0.08212100714445114,0.8,1.0
51002,matched_decoder,1,0.7999094680274514,0.0562313050031662,1.0,1.0
51002,matched_decoder,2,0.7436514709784124,0.08060950040817261,1.0,1.0
51002,matched_decoder,3,0.9290092595249504,0.013786823488771915,0.8,1.0
51002,matched_decoder,4,0.9341180885711751,0.012993535958230495,0.8,1.0
51002,matched_decoder,5,0.9269182705210359,0.016226915642619133,1.0,1.0
51002,matched_decoder,6,0.8309624431195876,0.044422607868909836,0.8,1.0
51002,matched_decoder,7,0.8687040973308957,0.024542350322008133,0.8,1.0
51002,matched_decoder,8,0.8974635564139536,0.021755186840891838,0.8,1.0
