experiment,seed,encoder_validation_mse,plasticity_rule,key_mode,dropped_fraction,mask_index,dropped_units,lec_cue_accuracy,lec_mec_cosine,mec_position_accuracy,mec_cue_accuracy
mec_degradation,51001,0.03420179337263107,base,dense,0.9,0,22,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,base,dense,0.9,1,22,0.5,0.3623502850532532,,
mec_degradation,51001,0.03420179337263107,base,dense,0.9,1,22,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,err2,normal,0.0,0,0,1.0,0.8482709527015686,,
mec_degradation,51001,0.03420179337263107,err2,normal,0.0,0,0,,,0.4,1.0
lec_degradation,51001,0.03420179337263107,err2,normal,0.0,1,0,1.0,0.8482709527015686,,
mec_degradation,51001,0.03420179337263107,err2,normal,0.0,1,0,,,0.4,1.0
lec_degradation,51001,0.03420179337263107,err2,normal,0.25,0,6,1.0,0.8364931344985962,,
mec_degradation,51001,0.03420179337263107,err2,normal,0.25,0,6,,,0.3,1.0
lec_degradation,51001,0.03420179337263107,err2,normal,0.25,1,6,1.0,0.8346374034881592,,
mec_degradation,51001,0.03420179337263107,err2,normal,0.25,1,6,,,0.32,1.0
lec_degradation,51001,0.03420179337263107,err2,normal,0.5,0,12,1.0,0.8264572024345398,,
mec_degradation,51001,0.03420179337263107,err2,normal,0.5,0,12,,,0.2,1.0
lec_degradation,51001,0.03420179337263107,err2,normal,0.5,1,12,1.0,0.8328748345375061,,
mec_degradation,51001,0.03420179337263107,err2,normal,0.5,1,12,,,0.16,1.0
lec_degradation,51001,0.03420179337263107,err2,normal,0.75,0,19,1.0,0.7952989339828491,,
mec_degradation,51001,0.03420179337263107,err2,normal,0.75,0,19,,,0.08,1.0
lec_degradation,51001,0.03420179337263107,err2,normal,0.75,1,19,1.0,0.8045477271080017,,
mec_degradation,51001,0.03420179337263107,err2,normal,0.75,1,19,,,0.06,1.0
lec_degradation,51001,0.03420179337263107,err2,normal,0.9,0,22,1.0,0.7936577796936035,,
mec_degradation,51001,0.03420179337263107,err2,normal,0.9,0,22,,,0.06,1.0
lec_degradation,51001,0.03420179337263107,err2,normal,0.9,1,22,1.0,0.8215456604957581,,
mec_degradation,51001,0.03420179337263107,err2,normal,0.9,1,22,,,0.04,1.0
lec_degradation,51001,0.03420179337263107,err2,dense,0.0,0,0,0.5,0.33968213200569153,,
mec_degradation,51001,0.03420179337263107,err2,dense,0.0,0,0,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,err2,dense,0.0,1,0,0.5,0.33968213200569153,,
mec_degradation,51001,0.03420179337263107,err2,dense,0.0,1,0,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,err2,dense,0.25,0,6,0.5,0.33968213200569153,,
mec_degradation,51001,0.03420179337263107,err2,dense,0.25,0,6,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,err2,dense,0.25,1,6,0.5,0.33968213200569153,,
mec_degradation,51001,0.03420179337263107,err2,dense,0.25,1,6,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,err2,dense,0.5,0,12,0.5,0.33968213200569153,,
mec_degradation,51001,0.03420179337263107,err2,dense,0.5,0,12,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,err2,dense,0.5,1,12,0.5,0.33968213200569153,,
mec_degradation,51001,0.03420179337263107,err2,dense,0.5,1,12,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,err2,dense,0.75,0,19,0.5,0.33968213200569153,,
mec_degradation,51001,0.03420179337263107,err2,dense,0.75,0,19,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,err2,dense,0.75,1,19,0.5,0.33968213200569153,,
mec_degradation,51001,0.03420179337263107,err2,dense,0.75,1,19,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,err2,dense,0.9,0,22,0.5,0.33968213200569153,,
mec_degradation,51001,0.03420179337263107,err2,dense,0.9,0,22,,,0.02,0.5
lec_degradation,51001,0.03420179337263107,err2,dense,0.9,1,22,0.5,0.33968213200569153,,
mec_degradation,51001,0.03420179337263107,err2,dense,0.9,1,22,,,0.02,0.5
lec_degradation,51002,0.026176869869232178,base,normal,0.0,0,0,1.0,0.7047028541564941,,
mec_degradation,51002,0.026176869869232178,base,normal,0.0,0,0,,,0.12,1.0
lec_degradation,51002,0.026176869869232178,base,normal,0.0,1,0,1.0,0.7047028541564941,,
mec_degradation,51002,0.026176869869232178,base,normal,0.0,1,0,,,0.12,1.0
lec_degradation,51002,0.026176869869232178,base,normal,0.25,0,6,1.0,0.7235202789306641,,
mec_degradation,51002,0.026176869869232178,base,normal,0.25,0,6,,,0.1,1.0
lec_degradation,51002,0.026176869869232178,base,normal,0.25,1,6,1.0,0.7191197872161865,,
mec_degradation,51002,0.026176869869232178,base,normal,0.25,1,6,,,0.14,1.0
lec_degradation,51002,0.026176869869232178,base,normal,0.5,0,12,1.0,0.7458687424659729,,
mec_degradation,51002,0.026176869869232178,base,normal,0.5,0,12,,,0.1,1.0
lec_degradation,51002,0.026176869869232178,base,normal,0.5,1,12,1.0,0.7430230975151062,,
mec_degradation,51002,0.026176869869232178,base,normal,0.5,1,12,,,0.12,1.0
lec_degradation,51002,0.026176869869232178,base,normal,0.75,0,19,1.0,0.7907880544662476,,
mec_degradation,51002,0.026176869869232178,base,normal,0.75,0,19,,,0.06,1.0
lec_degradation,51002,0.026176869869232178,base,normal,0.75,1,19,1.0,0.7852945923805237,,
