generation,candidate,composite_mse,K_ca1,beta_latent,beta_output
43,6,0.0011863821321943153,5.0,3.912947177886963,25.33700104802847
44,0,0.001189486269140616,5.0,3.914213180541992,25.337354354560375
44,1,0.001186571423507606,5.0,3.9133405685424805,25.335632152855396
44,2,0.0011875500010016065,5.0,3.9127159118652344,25.336042568087578
44,3,0.0011849558116712917,5.0,3.9120006561279297,25.333179458975792
44,4,0.0011875086444585274,5.0,3.9139580726623535,25.335909090936184
44,5,0.0011867711048883696,5.0,3.9124369621276855,25.337905324995518
44,6,0.0011855735404727359,5.0,3.9124035835266113,25.332340113818645
45,0,0.0011883274613258739,5.0,3.911440372467041,25.334240198135376
45,1,0.001185811609805872,5.0,3.911464214324951,25.33038031309843
45,2,0.0011882420997911443,5.0,3.9124369621276855,25.3365982696414
45,3,0.0011905775075623144,5.0,3.9117908477783203,25.33622805029154
45,4,0.0011845489013163994,5.0,3.9130091667175293,25.334538146853447
45,5,0.0011864748666994274,5.0,3.9130067825317383,25.336981266736984
45,6,0.0011872197889412444,5.0,3.912649154663086,25.33383648842573
46,0,0.0011861882618783663,5.0,3.9121031761169434,25.331907756626606
46,1,0.001188268749198566,5.0,3.9126110076904297,25.334013514220715
46,2,0.0011855678361219664,5.0,3.9115166664123535,25.334650576114655
46,3,0.0011859645310323685,5.0,3.913102149963379,25.335271507501602
46,4,0.0011882449325639755,5.0,3.912065029144287,25.330067314207554
46,5,0.0011892881496654202,5.0,3.9135122299194336,25.33497266471386
46,6,0.0011853094523151715,5.0,3.9127659797668457,25.33366944640875
47,0,0.0011878082489905257,5.0,3.9127349853515625,25.334332212805748
47,1,0.0011864268938855578,5.0,3.9123010635375977,25.334211476147175
47,2,0.0011888486333191395,5.0,3.912808895111084,25.334430187940598
47,3,0.0011871119010417412,5.0,3.912816047668457,25.334937907755375
47,4,0.0011867271192992728,5.0,3.9122962951660156,25.33410046249628
47,5,0.0011880168070395787,5.0,3.9124417304992676,25.336405485868454
47,6,0.0011855066889741768,5.0,3.912501335144043,25.33381011337042
48,0,0.001188276180376609,5.0,3.912348747253418,25.33555917441845
48,1,0.0011890512929918866,5.0,3.9128947257995605,25.334463119506836
48,2,0.001189427071949467,5.0,3.912343978881836,25.334250442683697
48,3,0.0011878315611587216,5.0,3.9124345779418945,25.33537745475769
48,4,0.0011890341120306402,5.0,3.9126038551330566,25.334168039262295
48,5,0.0011876104302549113,5.0,3.9121413230895996,25.331641472876072
48,6,0.0011860275408253074,5.0,3.9117836952209473,25.333405882120132
