rule,seed,capacity,unit,category,total_variance,spatial,cue-general,cue-specific,interaction
base,53001,5,33,cue-specific,0.008486676,0.0042126793,0.0041049593,0.011505713,0.0041208025
base,53001,5,34,mixed,0.04277636,0.023589633,0.0023574436,0.031155083,0.016051518
base,53001,5,35,mixed,0.005083105,0.0021096852,7.837334e-05,0.0016173194,0.0028426102
base,53001,5,36,mixed,0.007935201,0.0018764089,0.00030823998,0.0023385948,0.0050229705
base,53001,5,37,mixed,0.04537106,0.023614058,0.0007938199,0.0317844,0.016571522
base,53001,5,38,spatial,0.07835194,0.06600919,0.00046055752,0.004823705,0.011612582
base,53001,5,39,spatial,0.030869914,0.025171628,2.8878844e-06,0.00397331,0.00557461
base,53001,5,40,spatial,0.05056466,0.036138464,0.00851233,0.016416656,0.012779478
base,53001,5,41,spatial,0.07890995,0.066584736,1.0488022e-05,0.00080892735,0.011832389
base,53001,5,42,mixed,0.023397546,0.017604405,0.00031348184,0.011817951,0.005502542
base,53001,5,43,mixed,0.056533746,0.033734232,0.0003301465,0.023127068,0.018882431
base,53001,5,44,mixed,0.01007048,0.0041474495,0.00049450964,0.0043027103,0.0058612637
base,53001,5,45,mixed,0.010063103,0.0037470236,0.0040288814,0.009326805,0.005759261
base,53001,5,46,spatial,0.043048874,0.036059223,7.779434e-06,0.0017229993,0.006541586
base,53001,5,47,spatial,0.076069,0.064342745,1.7799952e-07,0.0043777814,0.011190235
base,53001,5,48,spatial,0.048788805,0.036554977,0.00023363665,0.012193357,0.011095331
base,53001,5,49,mixed,0.006145568,0.0025296584,0.00030839787,0.001228744,0.0035160822
base,53001,6,0,cue-specific,0.046502847,0.024293672,0.015010247,0.06251415,0.016944638
base,53001,6,1,mixed,0.02689296,0.01149526,0.00011507771,0.007958788,0.01396015
base,53001,6,2,spatial,0.04297264,0.034182332,0.00059011136,0.0072799493,0.008495125
base,53001,6,3,mixed,0.004799947,0.0014008991,2.0858315e-06,0.0016236198,0.0033273164
base,53001,6,4,mixed,0.003627808,0.0009791028,0.00026393714,0.001465361,0.002534755
base,53001,6,5,spatial,0.057034284,0.04514022,0.0024131995,0.007123249,0.010874458
base,53001,6,6,spatial,0.15072705,0.13116859,0.00117765,0.012251878,0.018973472
base,53001,6,7,spatial,0.10558733,0.08532422,0.00012162837,0.0018844107,0.019273598
base,53001,6,8,spatial,0.10070918,0.0832083,0.00015996126,0.009105868,0.016326845
base,53001,6,9,mixed,0.011622601,0.0063028173,0.0013135193,0.003429828,0.0052238633
base,53001,6,10,mixed,0.009742093,0.004729678,0.00012861995,0.0038450835,0.0047140624
base,53001,6,11,mixed,0.050521955,0.023254568,0.0018937751,0.014852191,0.020756213
base,53001,6,12,spatial,0.02056104,0.014488505,0.00026824305,0.002276469,0.005848038
base,53001,6,13,spatial,0.060495365,0.04830487,0.00015567559,0.008023989,0.011442219
base,53001,6,14,mixed,0.0041464823,0.0012984939,6.7052233e-06,0.0020486242,0.002712019
base,53001,6,15,mixed,0.04642563,0.009473274,0.00022617058,0.044850178,0.030735346
base,53001,6,16,spatial,0.060304992,0.04624632,0.0013559232,0.0037972939,0.013395737
base,53001,6,17,spatial,0.09116315,0.07004434,4.8443886e-05,0.0027564233,0.019038217
base,53001,6,18,spatial,0.039418608,0.029555902,2.911443e-05,0.0016066885,0.009474247
base,53001,6,19,spatial,0.042987987,0.03322448,0.0011270042,0.0012458217,0.009439238
base,53001,6,20,mixed,0.021119159,0.008425551,0.00040451376,0.0025881906,0.011351553
base,53001,6,21,spatial,0.043538287,0.03618053,0.00025575934,0.0013879011,0.0071735154
base,53001,6,22,mixed,0.0232553,0.012602646,0.0007694458,0.0072752396,0.010382784
base,53001,6,23,spatial,0.01378312,0.009945018,0.0003093805,0.0038076325,0.003637156
base,53001,6,24,mixed,0.015548889,0.006710257,0.001478342,0.004315139,0.0086644
base,53001,6,25,spatial,0.13721776,0.116861984,0.0007738439,0.0037086073,0.020060714
base,53001,6,26,spatial,0.15382679,0.12509067,0.0006080648,0.0018385663,0.026245823
base,53001,6,27,spatial,0.14644307,0.12503612,0.006780665,0.014773961,0.02075742
base,53001,6,28,spatial,0.11050027,0.090029314,0.0022891888,0.007055747,0.019933522
base,53001,6,29,mixed,0.006305227,0.0026187813,0.0003360949,0.0012455676,0.0034116376
base,53001,6,30,spatial,0.05280287,0.04046202,0.00014920783,0.0025151563,0.012022908
base,53001,6,31,mixed,0.0068043866,0.0036640526,0.00048264096,0.0016598962,0.0030326752
base,53001,6,32,spatial,0.046442796,0.033528212,0.0012321563,0.013717346,0.011309322
base,53001,6,33,mixed,0.019641481,0.010890994,0.0031210487,0.016066533,0.008167412
base,53001,6,34,cue-specific,0.030431014,0.0147752585,0.0018516922,0.03263316,0.013347439
base,53001,6,35,mixed,0.009969733,0.004954591,0.0003599604,0.0021839933,0.0048508937
base,53001,6,36,mixed,0.0050623366,0.0011708165,0.0003330565,0.0014273535,0.003442005
base,53001,6,37,cue-specific,0.013026734,0.006373328,0.00033623225,0.019795924,0.0060468162
base,53001,6,38,spatial,0.050310545,0.040330097,0.00020431863,0.0026142122,0.0093226945
base,53001,6,39,spatial,0.03605217,0.027895171,0.0003890087,0.0047636013,0.008069064
base,53001,6,40,spatial,0.06944183,0.0533468,0.006453761,0.021281412,0.01406231
base,53001,6,41,spatial,0.08676145,0.071680084,6.7501605e-05,0.00044886649,0.014532401
base,53001,6,42,mixed,0.042559866,0.028486961,7.033115e-05,0.014318749,0.012699188
base,53001,6,43,mixed,0.040331677,0.022176735,5.1177543e-05,0.016263017,0.014871622
base,53001,6,44,mixed,0.020376602,0.0077990796,0.00041284005,0.0018737755,0.012416572
base,53001,6,45,mixed,0.018162202,0.00986511,0.0016505298,0.006883331,0.00766126
base,53001,6,46,spatial,0.05916393,0.04851733,1.5654386e-07,0.001432208,0.010037809
base,53001,6,47,spatial,0.043735623,0.034890044,0.0002456034,0.0037500677,0.008416923
base,53001,6,48,spatial,0.048216723,0.03481288,0.00015067354,0.015376504,0.012014342
base,53001,6,49,mixed,0.0073908074,0.0023722278,0.0007147229,0.0014683369,0.0048499587
base,53001,7,0,cue-specific,0.041322317,0.01891699,0.0067787804,0.058563758,0.016968597
base,53001,7,1,mixed,0.019516999,0.005325322,6.1936335e-06,0.0111958785,0.013039883
base,53001,7,2,spatial,0.035489686,0.027507892,1.3231687e-06,0.007640691,0.007887296
