root_seed,key_mode,fraction,mask_index,dropped_lec_units,cue_accuracy,mec_cosine,output_cosine,key_cosine
51001,shuffled,0.5,9,12,1.0,0.775613648400189,0.7665498289509338,0.7441078095505695
51001,shuffled,0.5,10,12,1.0,0.7942269092419835,0.8389608348048602,0.7871450417719302
51001,shuffled,0.5,11,12,1.0,0.782380406103516,0.8278003574520949,0.8045597333537424
51001,shuffled,0.75,0,19,1.0,0.7998714697504049,0.7627623035652766,0.7716039667390302
51001,shuffled,0.75,1,19,1.0,0.7588434802447902,0.7507843722322248,0.7605166335172183
51001,shuffled,0.75,2,19,1.0,0.7609565459777753,0.7350106284562123,0.7883032404570409
51001,shuffled,0.75,3,19,1.0,0.7627913080153291,0.7467305126093161,0.7923229911244811
51001,shuffled,0.75,4,19,1.0,0.8165009699660001,0.7863248825031449,0.7607695076492392
51001,shuffled,0.75,5,19,1.0,0.7686904469112986,0.757232347989766,0.7884452791281903
51001,shuffled,0.75,6,19,1.0,0.8308270475205672,0.7851646302795161,0.7609581156364186
51001,shuffled,0.75,7,19,1.0,0.8072747619948042,0.7479569100123746,0.7193253927544336
51001,shuffled,0.75,8,19,1.0,0.771424819779944,0.7455991970031134,0.7272055184332732
51001,shuffled,0.75,9,19,1.0,0.8101073453759936,0.7826722334098978,0.7861079910237774
51001,shuffled,0.75,10,19,1.0,0.748337327964341,0.6706910031084794,0.7297212660782728
51001,shuffled,0.75,11,19,0.5,0.7979419389982101,0.743814617791145,0.7810456847262013
51001,shuffled,0.9,0,22,1.0,0.7662613317191961,0.7008166625754982,0.7553537185379752
51001,shuffled,0.9,1,22,1.0,0.769554890237832,0.7050804636777745,0.7636735116016644
51001,shuffled,0.9,2,22,1.0,0.7556399369066152,0.6447069967562156,0.7053416875495025
51001,shuffled,0.9,3,22,1.0,0.813415121634608,0.7575608041814852,0.7627295231398007
51001,shuffled,0.9,4,22,1.0,0.7862578504634254,0.7084233720540677,0.7197611733742151
51001,shuffled,0.9,5,22,1.0,0.7947223060164683,0.7435342613044642,0.7524102432847423
51001,shuffled,0.9,6,22,1.0,0.7123516227670863,0.6174285404299248,0.6985966125952929
51001,shuffled,0.9,7,22,1.0,0.7596973622194068,0.6943812471675433,0.7321797581412823
51001,shuffled,0.9,8,22,1.0,0.7951764864448293,0.7495596041226779,0.7683014984493366
51001,shuffled,0.9,9,22,1.0,0.7551520563238171,0.6950894801901264,0.7745177775508482
51001,shuffled,0.9,10,22,0.5,0.7861473817556822,0.7237060520383453,0.7665512885900102
51001,shuffled,0.9,11,22,1.0,0.7904221454794115,0.6853583235955696,0.7148758716450572
51001,dense,0.0,0,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,1,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,2,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,3,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,4,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,5,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,6,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,7,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,8,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,9,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,10,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.0,11,0,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,0,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,1,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
51001,dense,0.25,2,6,0.5,0.2586084208914365,0.21727860975099886,0.9999999999999999
