rule,seed,capacity,unit,category,total_variance,spatial,cue-general,cue-specific,interaction
err2,53001,2,25,spatial,0.0248283,0.022223819,0.010364242,0.0011800666,0.0019585206
err2,53001,2,26,spatial,0.03543574,0.030481651,3.6906167e-05,0.009972251,0.0032116226
err2,53001,2,27,spatial,0.014395092,0.0125311725,0.00055125565,0.0014790077,0.0015160776
err2,53001,2,28,mixed,0.005882591,0.004126689,0.00064851844,0.0044636033,0.001138393
err2,53001,2,29,spatial,0.0041350643,0.0030648473,2.1072474e-07,0.00011497928,0.00099584
err2,53001,2,30,mixed,0.0041681794,0.0021209626,0.0021094924,0.00044017934,0.002011659
err2,53001,2,31,spatial,0.0048171002,0.003747372,0.00074102037,0.00029856074,0.0010608803
err2,53001,2,32,cue-specific,0.0043464545,0.0016244513,0.0001479096,0.00665166,0.0019601884
err2,53001,2,33,neutral,0.00014370045,5.3111562e-05,1.6725262e-05,3.3873512e-06,8.987199e-05
err2,53001,2,34,spatial,0.0068268557,0.006100465,4.3031487e-05,0.0016109218,0.0007089199
err2,53001,2,35,spatial,0.020258002,0.01832308,0.001149793,0.004928222,0.0013574552
err2,53001,2,36,spatial,0.008986544,0.007826287,1.0981919e-06,0.0021215086,0.0010373852
err2,53001,2,37,mixed,0.0030041307,0.0018213904,0.0003852302,0.001634988,0.0009413783
err2,53001,2,38,mixed,0.020484483,0.011830734,1.031289e-06,0.006376566,0.008631977
err2,53001,2,39,mixed,0.008463251,0.00665052,0.00046702434,0.005069922,0.0012530026
err2,53001,2,40,spatial,0.019262498,0.015601361,0.0016569576,0.004298477,0.0028902325
err2,53001,2,41,cue-specific,0.0095413085,0.0039373324,1.4098669e-05,0.022448445,0.0041250647
err2,53001,2,42,mixed,0.011256857,0.0053188745,0.0011277581,0.0076928786,0.005529344
err2,53001,2,43,spatial,0.02513809,0.02211109,0.000109146036,0.0032934507,0.0024047575
err2,53001,2,44,mixed,0.0012983077,0.0005591979,5.818367e-05,0.00010699608,0.0007352637
err2,53001,2,45,mixed,0.0036950035,0.0022894025,0.0005379544,0.0017328038,0.0013277164
err2,53001,2,46,spatial,0.015748477,0.01354459,4.1761075e-05,0.0040145805,0.001450575
err2,53001,2,47,spatial,0.015227115,0.012857041,0.00041236324,0.0043513584,0.001458655
err2,53001,2,48,mixed,0.010200287,0.006354059,0.002090953,0.0071867984,0.0037994822
err2,53001,2,49,mixed,0.011871403,0.010239892,0.0004668558,0.0055543855,0.0011029185
err2,53001,4,0,mixed,0.020829983,0.012871786,0.00049084437,0.0039003186,0.007281667
err2,53001,4,1,mixed,0.033416927,0.012774642,0.004675229,0.018365826,0.018240437
err2,53001,4,2,mixed,0.004757848,0.0031054234,0.00026352017,0.00033378383,0.0016143034
err2,53001,4,3,mixed,0.008768061,0.0042662094,0.0017283818,0.0027846564,0.004089376
err2,53001,4,4,mixed,0.010247772,0.0059076445,0.000118750584,0.0046151867,0.0034832244
err2,53001,4,5,mixed,0.011321469,0.0065997625,0.004428663,0.002949923,0.004174413
err2,53001,4,6,mixed,0.012078153,0.006529155,0.004607242,0.0019226002,0.0051524006
err2,53001,4,7,mixed,0.0046767197,0.0027062157,0.00061639067,0.0014057987,0.001839312
err2,53001,4,8,spatial,0.07943751,0.06132807,0.000120965946,0.020661518,0.014483656
err2,53001,4,9,spatial,0.014396398,0.011322799,0.00024073481,0.00024736655,0.002786815
err2,53001,4,10,spatial,0.026500756,0.022739138,0.0010916747,0.00091381633,0.0034251648
err2,53001,4,11,spatial,0.035418823,0.029979076,0.00040969392,0.001001063,0.005089911
err2,53001,4,12,mixed,0.016894806,0.008444581,0.00058988534,0.004281736,0.008347723
err2,53001,4,13,mixed,0.015904002,0.00795633,0.00011390363,0.005588407,0.0062350715
err2,53001,4,14,mixed,0.0018100238,0.0007936575,1.839343e-05,0.00028903634,0.0010012634
err2,53001,4,15,mixed,0.021875396,0.013465525,1.8179496e-06,0.0064655826,0.0072481143
err2,53001,4,16,mixed,0.0019093863,0.0007808828,2.1804526e-05,0.0011942328,0.0010011359
err2,53001,4,17,mixed,0.025184782,0.014617014,0.004377737,0.008673446,0.00862748
err2,53001,4,18,mixed,0.009228613,0.0043390812,0.0025418955,0.0066274228,0.0041687815
err2,53001,4,19,spatial,0.018603198,0.014300597,0.0031463243,0.0048832893,0.003450516
err2,53001,4,20,spatial,0.039236687,0.032546382,0.000827436,0.007756426,0.006119245
err2,53001,4,21,spatial,0.022637207,0.015765116,0.0003403765,0.0057330397,0.004403336
err2,53001,4,22,mixed,0.00206448,0.00067616557,5.0337145e-05,0.00016346392,0.0013256362
err2,53001,4,23,spatial,0.040675152,0.03493755,0.0010732778,0.002919014,0.0051132967
err2,53001,4,24,mixed,0.033089682,0.01567718,0.0002760961,0.01758952,0.016246859
err2,53001,4,25,spatial,0.034305207,0.026555039,0.0051496043,0.0053775418,0.005922298
err2,53001,4,26,spatial,0.045898028,0.03335394,0.0014277989,0.012874031,0.010980362
err2,53001,4,27,spatial,0.012503964,0.008402077,1.1552378e-05,0.003539867,0.003342303
err2,53001,4,28,mixed,0.0048218686,0.0019514073,1.4280965e-06,0.0023923435,0.002555717
err2,53001,4,29,mixed,0.0052721496,0.0023049864,1.2957127e-06,0.0021134627,0.0026320834
err2,53001,4,30,mixed,0.0056878566,0.0030454407,0.002473318,0.0014279565,0.0025246132
err2,53001,4,31,spatial,0.0077276183,0.005546585,3.4451296e-05,0.0005942148,0.001751391
err2,53001,4,32,mixed,0.0077406587,0.00340274,0.001627354,0.0069917766,0.0035815986
err2,53001,4,33,mixed,0.0017340422,0.00032888417,0.000115534895,0.0008672353,0.0009744175
err2,53001,4,34,spatial,0.016695922,0.012455181,0.00044004695,0.0032647965,0.0036943704
err2,53001,4,35,spatial,0.016542887,0.013963735,0.001754077,0.0026070033,0.0021914986
err2,53001,4,36,mixed,0.0050095133,0.0018937832,0.00046306767,0.0028926912,0.0028852564
err2,53001,4,37,mixed,0.008343793,0.0018505134,0.00077793637,0.00798516,0.0054376125
err2,53001,4,38,mixed,0.01357712,0.0066300724,0.0007088344,0.004198795,0.0062509943
err2,53001,4,39,spatial,0.012663738,0.008206781,2.1852547e-06,0.0031615444,0.0039185565
