record_type,seed,plasticity_rule,schedule,event,event_lap,relative_lap,old_map_similarity,new_map_similarity,step_similarity,ca1_unit,endpoint_unit_similarity
event_timecourse,51001,err2,no_swap,0,11,7,0.7435230016708374,0.7861872315406799,0.8055774569511414,,
event_timecourse,51001,err2,no_swap,0,11,8,0.7254557609558105,0.7725040912628174,0.7819370031356812,,
event_timecourse,51001,err2,no_swap,0,11,9,0.7238010168075562,0.8600000143051147,0.7725040912628174,,
endpoint_unit,51001,err2,no_swap,0,11,,,,,0,0.7979025840759277
endpoint_unit,51001,err2,no_swap,0,11,,,,,1,0.9855350255966187
endpoint_unit,51001,err2,no_swap,0,11,,,,,2,0.26567021012306213
endpoint_unit,51001,err2,no_swap,0,11,,,,,3,0.9780490398406982
endpoint_unit,51001,err2,no_swap,0,11,,,,,4,0.9879796504974365
endpoint_unit,51001,err2,no_swap,0,11,,,,,5,0.7879056930541992
endpoint_unit,51001,err2,no_swap,0,11,,,,,6,0.971671462059021
endpoint_unit,51001,err2,no_swap,0,11,,,,,7,0.990809977054596
endpoint_unit,51001,err2,no_swap,0,11,,,,,8,0.974188506603241
endpoint_unit,51001,err2,no_swap,0,11,,,,,9,0.7820373773574829
endpoint_unit,51001,err2,no_swap,0,11,,,,,10,0.7047392129898071
endpoint_unit,51001,err2,no_swap,0,11,,,,,11,0.8390166163444519
endpoint_unit,51001,err2,no_swap,0,11,,,,,12,4.644789886043554e-09
endpoint_unit,51001,err2,no_swap,0,11,,,,,13,0.9610226154327393
endpoint_unit,51001,err2,no_swap,0,11,,,,,14,0.8736734390258789
endpoint_unit,51001,err2,no_swap,0,11,,,,,15,0.28907909989356995
endpoint_unit,51001,err2,no_swap,0,11,,,,,16,0.904417097568512
endpoint_unit,51001,err2,no_swap,0,11,,,,,17,1.6633508721497492e-06
endpoint_unit,51001,err2,no_swap,0,11,,,,,18,0.7847095131874084
endpoint_unit,51001,err2,no_swap,0,11,,,,,19,0.6655304431915283
endpoint_unit,51001,err2,no_swap,0,11,,,,,20,0.7412742972373962
endpoint_unit,51001,err2,no_swap,0,11,,,,,21,-0.01851937733590603
endpoint_unit,51001,err2,no_swap,0,11,,,,,22,0.9657297730445862
endpoint_unit,51001,err2,no_swap,0,11,,,,,23,0.9004005789756775
endpoint_unit,51001,err2,no_swap,0,11,,,,,24,0.8017687201499939
endpoint_unit,51001,err2,no_swap,0,11,,,,,25,0.9585055112838745
endpoint_unit,51001,err2,no_swap,0,11,,,,,26,0.9783952236175537
endpoint_unit,51001,err2,no_swap,0,11,,,,,27,0.8878635168075562
endpoint_unit,51001,err2,no_swap,0,11,,,,,28,0.9888725876808167
endpoint_unit,51001,err2,no_swap,0,11,,,,,29,0.8431069254875183
endpoint_unit,51001,err2,no_swap,0,11,,,,,30,0.9539589285850525
endpoint_unit,51001,err2,no_swap,0,11,,,,,31,0.9817247986793518
endpoint_unit,51001,err2,no_swap,0,11,,,,,32,5.246562523097964e-06
endpoint_unit,51001,err2,no_swap,0,11,,,,,33,0.8340024948120117
endpoint_unit,51001,err2,no_swap,0,11,,,,,34,0.8860393166542053
endpoint_unit,51001,err2,no_swap,0,11,,,,,35,0.9273017048835754
endpoint_unit,51001,err2,no_swap,0,11,,,,,36,0.9675436615943909
endpoint_unit,51001,err2,no_swap,0,11,,,,,37,0.8727160692214966
endpoint_unit,51001,err2,no_swap,0,11,,,,,38,1.90851125125846e-07
endpoint_unit,51001,err2,no_swap,0,11,,,,,39,1.3004537002814232e-08
