repetition,seed,dim_ca1,num_cue_patterns,bit_kind,plasticity,train_noise,test_noise,ae_name,mtl_name,evolution_fitness,input_cosine,ae_cosine,mtl_cosine,ae_mse,mtl_mse
6,73206,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5035910741090774,0.7162557863285766,0.47253527797199785,0.05042741075158119,0.10766266286373138
7,73207,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5065835819244385,0.7312801862964406,0.41375857052300125,0.04943417012691498,0.1260364055633545
8,73208,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5031134530305862,0.742424626220949,0.4996920567601919,0.048524562269449234,0.11032295227050781
9,73209,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.49889643704891207,0.7280294855493121,0.38333155735675245,0.04948022589087486,0.12093295902013779
10,73210,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5066609009504318,0.7439594435915351,0.45603465031506496,0.04850616306066513,0.12340135872364044
11,73211,50,5,0,base,0.05,0.06,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.507015148639679,0.721020079895854,0.5250510904043912,0.051222823560237885,0.09896925836801529
0,73200,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5054952681064606,0.7456819188259542,0.3870363089069724,0.048164188861846924,0.12211661785840988
1,73201,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.49793523049354554,0.7510731334513985,0.4228692698776722,0.04574558511376381,0.11498676985502243
2,73202,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5072419877052308,0.7439446806283667,0.5077058822261169,0.047589849680662155,0.10610923171043396
3,73203,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5003170485496521,0.7447264979048632,0.3996383839184418,0.04836544767022133,0.1198645681142807
4,73204,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5229962691068649,0.7698328289017081,0.5214136645612307,0.04585684463381767,0.1086721271276474
5,73205,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.48252973580360414,0.7080261202184484,0.406970370484516,0.050578631460666656,0.11362665146589279
6,73206,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5035910741090774,0.7162557863285766,0.47253527797199785,0.05042741075158119,0.10766266286373138
7,73207,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5065835819244385,0.7312801862964406,0.41375857052300125,0.04943417012691498,0.1260364055633545
8,73208,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5031134530305862,0.742424626220949,0.4996920567601919,0.048524562269449234,0.11032295227050781
9,73209,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.49889643704891207,0.7280294855493121,0.38333155735675245,0.04948022589087486,0.12093295902013779
10,73210,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.5066609009504318,0.7439594435915351,0.45603465031506496,0.04850616306066513,0.12340135872364044
11,73211,50,5,0,base,0.05,0.07,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.507015148639679,0.721020079895854,0.5250510904043912,0.051222823560237885,0.09896925836801529
0,73200,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.3633270298242569,0.5479953556675464,0.3269521647449583,0.08297758549451828,0.13221673667430878
1,73201,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.3519136457443237,0.5533935798858293,0.35160490486677737,0.07947013527154922,0.12406689673662186
2,73202,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.36032265681028364,0.559897619090043,0.41019512550998477,0.0788152813911438,0.12365421652793884
3,73203,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.35642273741960523,0.5443790754838846,0.3385192410433665,0.0818374902009964,0.1284974366426468
4,73204,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.377328363776207,0.5690294608380646,0.40903572356840595,0.07902880758047104,0.1270189881324768
5,73205,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.33937298619747164,0.5192751503190957,0.3176293586082756,0.08221708983182907,0.125332310795784
6,73206,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.3581214367747307,0.5351253770438489,0.37212774497573264,0.08104562759399414,0.12257543206214905
7,73207,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.364778114259243,0.5500647719963454,0.3177684517195448,0.08130006492137909,0.14470550417900085
8,73208,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.3574846093058586,0.549041002240614,0.40087944460846486,0.08204557746648788,0.1290428787469864
9,73209,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.3465285856127739,0.5185585200679489,0.3223089361740276,0.08432555943727493,0.1282786875963211
10,73210,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.3622145414352417,0.5609118815525435,0.3654086744100787,0.08101476728916168,0.13999170064926147
11,73211,50,5,0,base,0.05,0.08,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.35602020227909087,0.5299857573481277,0.4112988081146032,0.08580678701400757,0.1172783374786377
0,73200,50,5,0,base,0.05,0.09,ae_27:8:0:44:00,mtl_27:8:1:40:40.json,0.10200708276033402,0.3633270298242569,0.5479953556675464,0.3269521647449583,0.08297758549451828,0.13221673667430878
